2013
January,26.36(7.38, 5.96),26.84(4.28, 3.48),246.96
February,25.95(8.15, 6.35),28.78(5.56, 4.69),213.64
March,23.47(7.30, 5.75),24.36(4.20, 3.35),185.29
April,17.94(7.67, 5.83),24.79(4.46, 3.53),118.69
May,21.73(9.55, 6.93),18.83(3.44, 2.68),103.45
June,19.86(8.89, 7.28),17.03(3.10, 2.41),87.77
July,22.08(9.73, 6.98),15.62(3.34, 2.54),87.31
August,23.95(12.18, 9.56),17.71(2.84, 2.17),109.31
September,27.34(11.87, 9.47),17.47(2.52, 2.00),130.42
October,23.87(10.17, 7.58),20.27(4.17, 3.12),201.42
November,28.17(8.97, 7.07),24.29(4.57, 3.66),233.12
December,24.01(7.64, 5.86),25.42(4.89, 3.89),270.52
